;countries;text;;;;;población;proporción;;;
1;Bogota;920,000 [6.4 - 1,400,000];;;;920000;7793945;11,8;;;640000
2;Cali;230,000 [1.6 - 370,000];;;;230000;2252616;10,2;;;160000
3;Medellin;860,000 [220,000 - 2,500,000];;;;860000;2533424;33,9;;;220000
4;Barranquilla;760,000 [5 - 1e+06];;;;760000;1274250;59,6;;;5
5;Cartagena;5e+05 [150,000 - 910,000];;;;500000;914552;54,7;;;150000
6;Cundinamarca;120,000 [13 - 210,000];;;;120000;2919000;4,1;;;13
7;Valle;320,000 [12 - 510,000];;;;320000;4191708;7,6;;;12
8;Antioquia;5e+05 [49 - 870,000];;;;500000;6215555;8,0;;;49
9;Bolivar;660,000 [180,000 - 2e+06];;;;660000;1981722;33,3;;;180000
10;Atlantico;1,900,000 [1,400,000 - 2,300,000];;;;1900000;2495154;76,1;;;76000
11;Narino;76,000 [7.6 - 130,000];;;;76000;1627589;4,7;;;76000
2.5%;Total;6,900,000 [6,300,000 - 7,700,000];;;;;;;;;
