"","countries","text"
"1","Denmark","34,000 [15,000 - 51,000]"
"2","Italy","630,000 [510,000 - 770,000]"
"3","Germany","560,000 [350,000 - 8e+05]"
"4","Spain","450,000 [360,000 - 540,000]"
"5","United_Kingdom","470,000 [370,000 - 570,000]"
"6","France","690,000 [560,000 - 830,000]"
"7","Norway","12,000 [2,800 - 25,000]"
"8","Belgium","110,000 [85,000 - 130,000]"
"9","Austria","65,000 [41,000 - 85,000]"
"10","Sweden","25,000 [12,000 - 44,000]"
"11","Switzerland","51,000 [34,000 - 73,000]"
"2.5%","Total","3,100,000 [2,800,000 - 3,500,000]"
