"","countries","text"
"1","Denmark","34,000 [16,000 - 51,000]"
"2","Italy","670,000 [540,000 - 8e+05]"
"3","Germany","560,000 [360,000 - 810,000]"
"4","Spain","480,000 [390,000 - 570,000]"
"5","United_Kingdom","5e+05 [4e+05 - 6e+05]"
"6","France","720,000 [590,000 - 850,000]"
"7","Norway","12,000 [3,100 - 25,000]"
"8","Belgium","120,000 [93,000 - 140,000]"
"9","Austria","66,000 [41,000 - 86,000]"
"10","Sweden","28,000 [14,000 - 47,000]"
"11","Switzerland","53,000 [35,000 - 75,000]"
"2.5%","Total","3,200,000 [2,900,000 - 3,600,000]"
