"","countries","text"
"1","Bogota","1,100,000 [890,000 - 1,400,000]"
"2","Cali","290,000 [220,000 - 380,000]"
"3","Medellin","1,500,000 [1,300,000 - 1,600,000]"
"4","Barranquilla","950,000 [680,000 - 1,200,000]"
"5","Cartagena","160,000 [130,000 - 220,000]"
"6","Cundinamarca","2,100,000 [1,900,000 - 2,200,000]"
"7","Valle","430,000 [320,000 - 570,000]"
"8","Antioquia","960,000 [430,000 - 2,400,000]"
"9","Bolivar","230,000 [160,000 - 420,000]"
"10","Atlantico","1e+06 [390,000 - 2,500,000]"
"11","Narino","950,000 [860,000 - 1e+06]"
"2.5%","Total","9,600,000 [8,300,000 - 1.3e+07]"
