"","countries","text"
"1","Bogota","31,000 [25,000 - 36,000]"
"2","Cali","9,100 [6,900 - 11,000]"
"3","Medellin","12,000 [11,000 - 14,000]"
"4","Barranquilla","3,200 [2,200 - 4,600]"
"5","Cartagena","3,200 [2,500 - 3,900]"
"6","Cundinamarca","12,000 [10,000 - 13,000]"
"7","Valle","15,000 [11,000 - 19,000]"
"8","Antioquia","22,000 [14,000 - 28,000]"
"9","Bolivar","6,000 [0.34 - 8,600]"
"10","Atlantico","8,400 [5,500 - 11,000]"
"11","Narino","9,300 [8,400 - 10,000]"
"2.5%","Total","130,000 [120,000 - 140,000]"
